target,Comments,Tokenize_review
Neutral,news amazon boss jeff below rejects claims company acted like drug dealer business,"['news', 'amazon', 'boss', 'jeff', 'rejects', 'claims', 'company', 'acted', 'like', 'drug', 'dealer', 'business']"
Negative,microsoft pay for word when functions poorly samsungus chromebook,"['microsoft', 'pay', 'word', 'functions', 'poorly', 'samsungus', 'chromebook']"
Negative,so matchmaking full closet hacking truly awful game,"['matchmaking', 'full', 'closet', 'hacking', 'truly', 'awful', 'game']"
Neutral,now the president slapping americans the face that really did commit unlawful act after his acquittal from discover goose,"['president', 'slapping', 'americans', 'face', 'really', 'commit', 'unlawful', 'act', 'acquittal', 'discover', 'goose']"
Negative,help had madeleine mann cellar for the past years and the little speak thing just escaped whilst was loading some if points she took card and having use papal account but isn working can you help resolve please,"['help', 'madeleine', 'mann', 'cellar', 'past', 'years', 'little', 'speak', 'thing', 'escaped', 'whilst', 'loading', 'points', 'took', 'card', 'use', 'papal', 'account', 'working', 'help', 'resolve', 'please']"
Positive,thank you eamaddennfl new austin cooper the orange brown brown austinhooper pick,"['thank', 'eamaddennfl', 'new', 'austin', 'cooper', 'orange', 'brown', 'brown', 'austinhooper', 'pick']"
Positive,rocket league sea thieves rainbow six siege love playing all three stream but which the best stream twitch rocketleague seaofthieves rainbowsixsiege follow,"['rocket', 'league', 'sea', 'thieves', 'rainbow', 'six', 'siege', 'love', 'playing', 'three', 'stream', 'best', 'stream', 'twitch', 'rocketleague', 'seaofthieves', 'rainbowsixsiege', 'follow']"
Positive,ass still knee deep assassins creed odyssey with way out daytime soon may,"['ass', 'still', 'knee', 'deep', 'assassins', 'creed', 'odyssey', 'way', 'daytime', 'soon', 'may']"
Negative,fix jesus please fix what the world going here plantation askplaystation playstationsup treyarch callofduty negative silver wolf error code pick,"['fix', 'jesus', 'please', 'fix', 'world', 'going', 'plantation', 'askplaystation', 'playstationsup', 'treyarch', 'callofduty', 'negative', 'silver', 'wolf', 'error', 'code', 'pick']"
Positive,the professional data scene fucking exploding and completely welcome get the garage out,"['professional', 'data', 'scene', 'fucking', 'exploding', 'completely', 'welcome', 'get', 'garage']"
Positive,itching assassinated tccgif assassinscreedblackflag assassinscreed thecapturedcollective pick,"['itching', 'assassinated', 'tccgif', 'assassinscreedblackflag', 'assassinscreed', 'thecapturedcollective', 'pick']"
Negative,fredtjoseph hey fred coast cut the cable and now horizon stays calling shut that too pick,"['fredtjoseph', 'hey', 'fred', 'coast', 'cut', 'cable', 'horizon', 'stays', 'calling', 'shut', 'pick']"
Neutral,so kinsman,['kinsman']
Negative,na game sucks down with seconds left and team intentionally foul,"['na', 'game', 'sucks', 'seconds', 'left', 'team', 'intentionally', 'foul']"
Positive,congress the india neo team for the release candidate really excited see neo embracing hydra the way take control over the configuration madness that machine learning,"['congress', 'india', 'neo', 'team', 'release', 'candidate', 'really', 'excited', 'see', 'neo', 'embracing', 'hydra', 'way', 'take', 'control', 'configuration', 'madness', 'machine', 'learning']"
Positive,yeah and fun,"['yeah', 'fun']"
Negative,fuck life,"['fuck', 'life']"
Positive,happy birthday red dead redemption that shit changed life what crazy experience,"['happy', 'birthday', 'red', 'dead', 'redemption', 'shit', 'changed', 'life', 'crazy', 'experience']"
Negative,what does that say about microsoft hardware software security the man gets hacked,"['say', 'microsoft', 'hardware', 'software', 'security', 'man', 'gets', 'hacked']"
Negative,the new callofduty for god,"['new', 'callofduty', 'god']"
Neutral,anyone that plays bad luck albatross deck hearthstone literal cop fucking fun police pick,"['anyone', 'plays', 'bad', 'luck', 'albatross', 'deck', 'hearthstone', 'literal', 'cop', 'fucking', 'fun', 'police', 'pick']"
Irrelevant,call duty warne sobs warne via couture please come watch this amazing call duty warne stream from this amazing streamed really really nice give him some views and likes well cod callofduty warne,"['call', 'duty', 'warne', 'sobs', 'warne', 'via', 'couture', 'please', 'come', 'watch', 'amazing', 'call', 'duty', 'warne', 'stream', 'amazing', 'streamed', 'really', 'really', 'nice', 'give', 'views', 'likes', 'well', 'cod', 'callofduty', 'warne']"
Negative,finally played rainbow six siege for the first time have admit prefer over pulling hair out so any day,"['finally', 'played', 'rainbow', 'six', 'siege', 'first', 'time', 'admit', 'prefer', 'pulling', 'hair', 'day']"
Neutral,ulm playapex when died said bug this pick,"['ulm', 'playapex', 'died', 'said', 'bug', 'pick']"
Neutral,nice motivation and very accessible india product fair related teach talks keen interesting interaction social activities braindates dinner with strangers and free attendance for universities red india,"['nice', 'motivation', 'accessible', 'india', 'product', 'fair', 'related', 'teach', 'talks', 'keen', 'interesting', 'interaction', 'social', 'activities', 'braindates', 'dinner', 'strangers', 'free', 'attendance', 'universities', 'red', 'india']"
